Chapter,English,French,Pages
G-6,Government Annuities,Rentes sur l'Etat,23-28
G-7,Government Companies Operation,Fonctionnement des compagnies de l'Etat,29-32
G-8,Government Employees Compensation,Indeminsation des employes de l'Etat,33-40
G-9,Government Harbours and Piers,Ports et jetees de l'Etat,41-46
G-10,Government Property Traffic,Circulation sure les terrains du gouvernement,47-48
G-11,Government Railways,Chemins de fer de l'Etat,49-82
G-12,Government Vessels Discipline,Discipline a bord des batiments de l'Etat,83-90
G-13,Government Works Tolls,Droits de passage dans les ouvrages de l'Etat,91-96
G-14,Governor General's,Gouverneur general,97-98
G-15,Governor General's Retiring Annuity,Pension de retraite du gouverneur general,99-100
G-16,"Grain, Canada",Grains du Canada,101-171
G-17,Grain Futures,Marches de grain a terme,233-242
H-1,Harbour Commisions,Commissions de port,243-254
H-2,Hay and Straw Inspection,Inspection du foin et de la paille,255-256
H-3,Hazardous Products,Produits dangereux,257-266
H-4,Health Resources Fund,Caisse d'aide a la sante,267-272
H-5,High Commissioner in the United Kingdom,Haut commissaire du Canada au Royaume-Uni,273-274
H-6,Historic Sites and Monuments,Lieux et monuments historiques,275-278
H-7,Holidays,Jours feries,279-280
H-8,Hospital Insurance and Diagnostic Services,Assurance-hospitalisation et services diagnostiques,281-288
H-9,House of Commons,Chambre des communes,289-296
H-10,Humane Slaughter of Food Animals,"Abattage, sans cruaute, des animaux destines a l'alimentation",297-298
I-1,Identification of Criminals,Identification des criminels,299-300
I-2,Immigration,Immigration,301-338
I-3,Immigration Appeal Board,Commission d'appel de l'immigration,339-348
I-4,Importation of Intoxicating Liquors,Importation des boissons enivrantes,349-352
I-5,Income Tax,Impot sur le revenu,353-776
I-6,Indian,Indiens,777-832
I-7,"Indian Affairs and Northern Development, Department of",Affaires indiennes et Nord canadien (Ministere),833-836
I-8,Industrial Design,Dessins industriels,837-844
I-9,Industrial Development Bank,Banque d'expansion industrielle,845-862
I-10,Industrial Research and Development Incentives,Recherche et developpement scientifiques,863-878
I-11,"Industry, Trade and Commerce, Department of",Industrie et Commerce (Ministere),879-882
I-12,Inland Water Freight Rates,Taux de fret sur les eaux interieures,883-886
I-13,Inquiries,Enquetes,887-892
I-14,Inspection and Sale,Inspection et vente,893-898
I-15,"Insurance Companies, Candian and British",Compagnies d'assurance canadiennes,899-1026
I-16,"Insurance Companies, Foreign",Compagnies d'assurance etrangeres,1027-1070
I-17,"Insurance, Department of",Departement des assurances,1071-1074
I-18,Interest,Interet,1075-1078
I-19,International Boundary Commission,Commission de la frontiere internationale,1079-1082
I-20,International Boundary Waters Treaty,Traite des eaux limotrophes internationales,1083-1092
I-21,International Development Association,Association internationale de developpement,1093-1112
I-22,International River Improvements,Ouvrages destines a l'amelioration des cours d'eau internationaux,1113-1116
I-23,Interpretation,Interpretation,1117-1140
