Chapter,English,French,Pages
A-1,Admiralty,Amiraute,23-38
A-2,Adult Occupational Training,Formation professionnelle des adultes,39-50
A-3,Aeronautics,Aeronautique,51-66
A-4,Agricultural and Rural Development (ARDA) .,Amenagement rural et developpement agricole (ARDA),67-70
A-5,Agricultural Products Board,Office des produits agricoles,71-74
A-6,Agricultural Products Cooperative Marketing,Vente cooperative des produits agricoles,75-78
A-7,Agricultural Products Marketing,Organisation du marche des produits agricoles,79-82
A-8,"Agricultural Products Standards, Canada",Normes des produits agricoles,83-90
A-9,Agricultural Stabilization,Stabilisation des prix agricoles,91-98
A-10,"Agriculture, Department of",Agriculture (Ministere),99-100
A-11,Air Canada,Air Canada,101-110
A-12,Alien Labour,Travail des aubains,111-114
A-13,Animal Contagious Diseases,Epizootics,115-130
A-14,Annulment of Marriages (Ontario),Annulation du mariage (Ontario),131-132
A-15,Anti-dumping,Antidumping,133-158
A-16,Army Benevolent Fund,Fonds de bienfaisance de l'armee,159-166
A-17,Atlantic Provinces Power Development,Mise en valeur de l'energie dans les provinces de l'Atlantique,167-170
A-18,Atlantic Region Freight Assistance,Transport des marchandises dans la Region atlantique,171-174
A-19,Atomic Energy Control,Energie atomique (Controle),175-184
B-1,Bank,Banques,185-320
B-2,Bank of Canada,Banque du Canada,321-340
B-3,Bankruptcy,Faillite,341-466
B-4,"Banks, Quebec Savings",Banques d'epargne de Quebec,467-538
B-5,Bills of Exchange,Lettres de change,539-592
B-6,Bills of Lading,Connaissements,593-594
B-7,Blind Persons,Aveugles,595-604
B-8,Boards of Trade,Chambres de commerce,605-620
B-9,Bretton Woods Agreements,Bretton Woods (Accords),621-696
B-10,Bridges,Ponts,697-704
B-11,Broadcasting,Radiodiffusion,705-732
C-1,Canada Assistance Plan,Regime d'assistance publique du Canada,733-748
C-2,Canada Council,Conseil des Arts du Canada,749-756
C-3,Canada Deposit Insurance Corporation,Societe d'assurance-depots du Canada,757-778
C-4,Canada Manpower and Immigration Council,Conseil canadien de la main-d'oeuvre et de l'immigration,779-786
C-5,Canada Pension Plan,Regime de pensions du Canada,787-882
C-6,Canadian Commercial Corporation,Corporation commerciale canadienne,883-888
C-7,Canadian Dairy Commission,Commission canadienne du lait,889-898
C-8,Canadian Film Development Corporation,Societe de developpement de l'industrie cinematographique canadienne,899-904
C-9,Canadian Forces Superannuation,Pension de retraite des Forces canadiennes,905-955
C-10,Canadian National Railways,Chemins de fer nationaux du Canada,957-978
C-11,Canadian Overseas Telecommunication Corporation,Societe canadienne des telecommunications transmarine,979-986
C-12,Canadian Wheat Board,Commission canadienne du ble,987-1011
C-13,Cape Breton Development Corporation,Societe de developpement du Cap-Breton,1021-1040
C-14,Carriage by Air,Transport aerien,1041-1062
C-15,Carriage of Goods by Water,Transport des marchandises par eau,1063-1070
C-16,Central Mortgage and Housing Corporation (CMHC),Societe centrale d'hypotheques et de logement,1071-1086
C-17,Cheese and Cheese Factory Improvement,Amelioration du fromage et des fromageries,1087-1090
C-18,Children of War Dead (Education Assistance),Aide aux enfants des morts de la guerre (Education),1091-1096
C-19,"Citizenship, Canadian",Citoyennete canadienne,1097-1124
C-20,Civilian War Pensions and Allowances,Pensions et allocations de guerre pour les civils,1125-1152
C-21,Coastal Fisheries Protection,Pecheries cotieres (Protection),1157-1164
C-22,Cold Storage,Installations frigorifiques,1165-1166
C-23,Combines Investigation,Enquetes sur les coalitions,1167-1198
C-24,"Communications, Department of",Communications (Ministere),1199-1200
C-25,Companies' Creditors Arrangement,Arrangements avec les creanciers des compagnies,1201-1210
C-26,Company of Young Canadians,Compagnie des jeunes Canadiens,1211-1218
C-27,"Consumer and Corporate Affairs, Department of",Consommation et Corporations (Ministere),1219-1222
