Chapter,English,French,Pages
D-1,"Dairy Products, Canada",Produits laitiers du Canada,23-28
D-2,Defence Production,Production de defense,29-46
D-3,Defence Services Pension Continuation,Continuation de la pension des services de defense,47-70
D-4,Diplomatic Immunities (Commonwealth Countries),Immunitys diplomatiques (Pays du Commonwealth),71-74
D-5,Diplomatic Service (Special) Superannuation,Pension speciale du service diplomatique,75-86
D-6,Disabled Persons,Invalides,87-96
D-7,Disfranchising,Privation du droit Electoral,97-102
D-8,Divorce,Divorce,103-116
D-9,Dry Docks Subsidies,Subventions aux bassins de radoub,117-128
E-1,Economic Council of Canada,Conseil economique du Canada,129-136
E-2,Electoral Boundaries Readjustment,Revision des limites des circonscriptions electorates,137-148
E-3,Electrical and Photometric Units,Unites electriques et photometriques,149-152
E-4,Electricity Inspection,Inspection de l'electricite,153-162
E-5,Emergency Gold Mining Assistance,Aide a l'exploitation des mines d'or,163-172
E-6,"Energy, Mines and Resources, Department of","Energie, Mines et Ressources (Ministere)",173-174
E-7,Escheats,Biens de desherence,175-176
E-8,Established Programs (Interim Arrangements),Programmes etablis (Arrangements provisoires),177-190
E-9,Estate Tax,Impot sur les biens transmis par deces,191-262
E-10,"Evidence, Canada",Preuve au Canada,263-286
E-11,Exchequer Court,Cour de l'Echiquier,287-316
E-12,Excise,Accise,317-422
E-13,Excise Tax,Taxe d'accise,423-488
E-14,Experimental Farm Stations,Stations agronomiques,489-492
E-15,Explosives,Explosifs,493-506
E-16,Export,Exportations,507-510
E-17,Export and Import Permits,Licences d'exportation et d'importation,511-518
E-18,Export Development,Expansion des exportations,519-534
E-19,Expropriation,Expropriations,535-550
E-20,"External Affairs, Department of",Affaires exterieures (Ministere),551-552
E-21,Extradition,Extradition,553-568
F-1,Family Allowances,Allocations familiales,569-574
F-2,Farm Credit,Credit agricole,575-594
F-3,Farm Improvement Loans,Prets destines aux ameliorations agricoles,595-606
F-4,Farm Syndicates Credit,Credit aux syndicats agricoles,607-614
F-5,Farmers' Creditors Arrangement,Arrangements entre cultivateurs et creanciers,615-630
F-6,Federal-Provincial Fiscal Arrangements,Arrangements fiscaux entre le gouvernement federal et les provinces,631-648
F-7,Feeds,Aliments du betail,649-654
F-8,Ferries,Passages d'eau,655-658
F-9,Fertilizers,Engrais chimiques,659-664
F-10,Financial Administration,Administration financiere,665-710
F-11,Fire Losses Replacement Account,Compte de remplacement des biens endommages par l'incendie,711-714
F-12,Fish Inspection,Inspection du poisson,715-720
F-13,"Fish Marketing, Freshwater",Commercialisation du poisson d'eau douce,721-734
F-14,Fisheries,Pecheries,735-764
F-15,"Fisheries Convention, Great Lakes",Pecheries des Grands lacs (Convention),765-772
F-16,"Fisheries Convention, North Pacific",Pecheries du Pacifique nord (Convention),773-786
F-17,"Fisheries Convention, Northern Pacific Halibut",Pecheries du fletan du Pacifique nord (Convention),787-796
F-18,"Fisheries Convention, Northwest Atlantic",Pecheries de l'Atlantiqiie nord-ouest (Convention),797-808
F-19,"Fisheries Convention, Pacific Salmon",Pecheries de saumon du Pacifique (Convention),809-822
F-20,"Fisheries and Forestry, Department of",Peches et Forets (Ministere),823-824
F-21,Fisheries Development,Developpement de la peche,825-828
F-22,Fisheries Inprovement Loans,Operations de peche,829-838
F-23,Fisheries Prices Support,Soutien des prix des produits de la peche,839-844
F-24,Fisheries Research Board,Conseil de recherches sur les pecheries,845-848
F-25,Fitness and Amateur Sport,Sante et sport amateur,849-854
F-26,Food and Agriculture Organization of the United Nations (FAO),Organisation de l'alimentation et de l'agriculture des Nations Unies (FAO),855-866
F-27,Food and Drugs,Aliments et drogues,867-892
F-28,Foreign Aircraft Third Party Damage,Dommages causes aux tiers par des aeronefs etrangers,893-906
F-29,Foreign Enlistment,Enrolement a l'etranger,907-914
F-30,Forestry Development and Research,Developpement des forets et recherche,915-918
F-31,"Fruit, Vegetables and Honey","Fruits, legumes et miel",919-926
F-32,Fugitive Offenders,Criminels fugitifs,927-934
F-33,"Fur Seals Convention, Pacific",Phoques a fourrure du Pacifique (Convention),935-948
G-1,Game Export,Exportation du gibier,949-952
G-2,Gas Inspection,Inspection du gaz,953-962
G-3,Geneva Conventions,Conventions de Geneve,963-1088
G-4,Gold Clauses,Clauses-or,1089-1092
G-5,Gold Export,Exportation de l'or,1093-1093
