Chapter,English,French,Pages
S-9,"Shipping, Canada",Marine marchande du Canada,"23-136,141-144,149-404"
S-10,Small Businesses Loans,Prets aux petites enterprises,405-414
S-11,Small Loans,Petits prets,415-430
S-12,"Soliciter General, Department of the",Solliciteur general (Ministere),431-432
S-13,Speaker of the House of Commons,Orateur de la Chambre des communes,433-434
S-14,Speaker of the Senate,President du Senat,435-436
S-15,"State, Department of",Secretariat d'Etat,437-438
S-16,Statistics,Statistique,439-454
S-17,"Student Loans, Canada",Prets aux etudiantes,455-466
S-18,"Supply and Services, Department of",Approvisionnements et Services (Ministere),467-472
S-19,Supreme Court,Cour supreme,473-502
S-20,Surplus Crown Assets,Biens de surplus de la Couronne,503-512
T-1,Tariff Board,Commission du tarif,513-520
T-2,Teleferry,Teleferiques,521-524
T-3,Telegraphs,Telegraphes,525-538
T-4,Telesat Canada,Telesat Canada,539-566
T-5,"Temperance, Canada",Temperance,567-650
T-6,Territorial Lands,Terres territoriales,651-660
T-7,Territorial Sea and Fishing Zones,Mer territoriale et zones de pêche,661-664
T-8,Timber Marking,Marquage des bois,665-668
T-9,Tobacco Restraint,Répression de l'usage du tabac chez les adolescents,669-672
T-10,Trade Marks,Marques de commerce,673-714
T-11,Trade Unions,Syndicats ouvriers,715-726
T-12,Trans-Canada Highway,Route transcanadienne,727-730
T-13,Translation Bureau,Bureau des traductions,731-734
T-14,Transport,Transports,735-752
T-15,"Transport, Department of",Transports (Ministère),753-764
T-16,Trust Companies,Compagnies fiduciaires,765-830
U-1,Unemployment Assistance,Assistance-chômage,831-840
U-2,Unemployment Insurance,Assurance-chômage,841-890
U-3,United Nations,Nations Unies,891-892
U-4,United States Wreckers,Bateaux sauveteurs des États-Unis,893-894
V-1,"Veterans Affairs, Department of",Affaires des anciens combattants (Ministère),895-900
V-2,Veterans Benefit,Avantages aux anciens combattants,901-914
V-3,Veterans Insurance,Assurance des anciens combattants,915-924
V-4,Veterans' Land,Terres destinees aux anciens combattants,925-980
V-5,Veterans Rehabilitation,Réadaptation des anciens combattants,981-994
V-6,Visiting Forces,Forces etrangeres presentes au Canada,995-1008
V-7,Vocational Rehabilitation of Disabled Persons,Réadaptation professionnelle des invalides,1009-1012
W-1,Wages Liability,Responsabilite des salaires,1013-1016
W-2,War Measures,Mesures de guerre,1017-1020
W-3,"War Risks, Marine and Aviation",Risques de guerre en matière d'assurance maritime et aérienne,1021-1024
W-4,War Service Grants,Indemnites de service de guerre,1025-1048
W-5,War Veterans Allowance,Allocations aux anciens combattants,1049-1072
W-6,"Water Power, Dominion",Forces hydrauliques du Canada,1073-1081
W-7,Weights and Measures,Poids et mesures,"1083-1098,1104-1105"
W-8,Whaling Convention,Chasse a la baleine (Convention),1107-1120
W-9,Wheat Cooperative Marketing,Vente cooperative du ble,1121-1124
W-10,Winding-up,Liquidations,1125-1170
Y-1,Youth Allowances,Allocations aux jeunes,1171-1176
Y-2,Yukon,Yukon,1179-1204
Y-3,Yukon Placer Mining,Extraction de l'or dans le Yukon,1205-1244
Y-4,Yukon Quartz Mining,Extraction du quartz dans le Yukon,1245-1302
