Chapter,English,French,Pages
C-28,"Controverted Elections, Dominion",Elections federates contested,23-62
C-29,CooperativeCreditAssociations,Associations cooperatives de credit,63-98
C-30,Copyright,Droit d'auteur,99-152
C-31,CorporationsandLabourUnionsReturns,Declarations des corporations et des syndicats ouvriers,153-170
C-32,"Corporations, Canada",Corporations canadiennes,171-316
C-33,CorruptPracticesInquiries,Enquetes sur les manoeuvres frauduleuses,317-326
C-34,CriminalCode,Code criminel,327-710
C-35,Criminal Code 1967 Amendment,Code criminel (Loi de 1967 modifiant le),711-714
C-36,Crop Insurance,Assurance-recolte,715-724
C-37,Crown Corporations (Provincial Taxes and Fees),Corporations de la Couronne (Taxes et droits provinciaux),725-728
C-38,Crown Liability,Responsabilite de la Couronne,729-740
C-39,Currency and Exchange,Monnaie et changes,741-748
C-40,Customs,Douanes,753-876
C-41,Customs Tariff,Tarif des douanes,877-894
